tpsgenD89.VP;tpsgenD89.TC;id_menage;id_personne;id_chaine;Id_boucle;coep;D7_residence;nbactif;nbpers+18ans;taille_menage;nombre_VP;motorisation;habitat;occupation_logement;occupation;niveau_etudes;permis;abonnementTC;age;age0-17;age18-25;age26-35;age36-45;age46-59;age60+;sexe;D7_origine;D7_destination;Densite89;motif_ori;motif_dest;Premier_mode;tps_gen_VP_D89;tps_gen_TC_D89;lnage18
60,18897667;91,303;10113400;10113401;1011340112;101134011;45,69581;2;2;2;2;1;0,5;4;3;1;6;1;4;41;0;0;0;1;0;0;1;4;2;37,79854604;TRAVAIL;DOMI;VP;60,18897667;91,303;3,17805383
34,61347333;65,05683333;10114000;10114001;1011400112;101140011;54,14797;2;1;1;2;0;0;4;3;1;2;2;3;35;0;0;1;0;0;0;2;1;2;158,046015;TRAVAIL;DOMI;TC;34,61347333;65,05683333;2,890371758
1,387;2,771;10114100;10114101;1011410112;101141011;26,22475;2;1;2;2;2;1;4;1;1;6;1;4;64;0;0;0;0;0;1;1;2;2;95,05579498;TRAVAIL;DOMI;VP;1,387;2,771;3,850147602
35,67483333;40,409;10115400;10115402;1011540212;101154021;61,44736;2;1;2;4;1;0,5;4;3;1;5;1;2;31;0;0;1;0;0;0;1;2;2;328,0848725;TRAVAIL;DOMI;TC;35,67483333;40,409;2,63905733
22,70409333;31,97116667;10115800;10115801;1011580112;101158011;79,0321;2;2;2;3;1;0,5;4;1;1;6;2;4;33;0;0;1;0;0;0;1;1;2;319,0987983;TRAVAIL;DOMI;TC;22,70409333;31,97116667;2,772588722
46,91298833;58,81833333;10115800;10115802;1011580212;101158021;79,0321;2;2;2;3;1;0,5;4;1;1;6;1;4;31;0;0;1;0;0;0;2;2;2;137,6442763;TRAVAIL;DOMI;VP;46,91298833;58,81833333;2,63905733
35,03283333;59,7655;10116900;10116901;1011690112;101169011;66,69568;2;2;2;3;2;1;4;3;1;6;1;4;47;0;0;0;0;1;0;1;2;2;490,2529794;TRAVAIL;DOMI;VP;35,03283333;59,7655;3,401197382
28,31016;52,037;10118200;10118201;1011820112;101182011;26,22475;2;2;2;2;1;0,5;4;4;2;4;1;2;56;0;0;0;0;1;0;2;1;2;359,8916651;TRAVAIL;DOMI;TC;28,31016;52,037;3,663561646
7,875;16,74716667;10201300;10201303;1020130312;102013031;65,97416;1;2;3;3;1;0,333333333;4;3;1;4;1;2;24;0;1;0;0;0;0;1;1;1;337,1084252;TRAVAIL;DOMI;TC;7,875;16,74716667;1,945910149
7,875;16,74716667;10201300;10201303;1020130322;102013032;65,97416;1;2;3;3;1;0,333333333;4;3;1;4;1;2;24;0;1;0;0;0;0;1;1;1;337,1084252;TRAVAIL;DOMI;TC;7,875;16,74716667;1,945910149
19,41416667;26,59583333;10201900;10201901;1020190112;102019011;53,61539;1;1;1;2;1;1;4;1;1;6;1;2;44;0;0;0;1;0;0;2;2;1;95,05579498;TRAVAIL;DOMI;TC;19,41416667;26,59583333;3,295836866
